document_id,document_type,split,pdf_path,image_path,annotation_path,template_name,render_dpi,synthetic
w2_2026_000018,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000018.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000018.png,data\annotations\irs_synthetic\w2\train\w2_2026_000018.json,w2_2026,200,True
w2_2026_000019,w2,validation,data\raw\irs_synthetic\w2\validation\pdf\w2_2026_000019.pdf,data\raw\irs_synthetic\w2\validation\images\w2_2026_000019.png,data\annotations\irs_synthetic\w2\validation\w2_2026_000019.json,w2_2026,200,True
w2_2026_000020,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000020.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000020.png,data\annotations\irs_synthetic\w2\train\w2_2026_000020.json,w2_2026,200,True
w2_2026_000021,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000021.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000021.png,data\annotations\irs_synthetic\w2\train\w2_2026_000021.json,w2_2026,200,True
w2_2026_000022,w2,test,data\raw\irs_synthetic\w2\test\pdf\w2_2026_000022.pdf,data\raw\irs_synthetic\w2\test\images\w2_2026_000022.png,data\annotations\irs_synthetic\w2\test\w2_2026_000022.json,w2_2026,200,True
w2_2026_000023,w2,test,data\raw\irs_synthetic\w2\test\pdf\w2_2026_000023.pdf,data\raw\irs_synthetic\w2\test\images\w2_2026_000023.png,data\annotations\irs_synthetic\w2\test\w2_2026_000023.json,w2_2026,200,True
w2_2026_000024,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000024.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000024.png,data\annotations\irs_synthetic\w2\train\w2_2026_000024.json,w2_2026,200,True
w2_2026_000025,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000025.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000025.png,data\annotations\irs_synthetic\w2\train\w2_2026_000025.json,w2_2026,200,True
w2_2026_000026,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000026.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000026.png,data\annotations\irs_synthetic\w2\train\w2_2026_000026.json,w2_2026,200,True
w2_2026_000027,w2,test,data\raw\irs_synthetic\w2\test\pdf\w2_2026_000027.pdf,data\raw\irs_synthetic\w2\test\images\w2_2026_000027.png,data\annotations\irs_synthetic\w2\test\w2_2026_000027.json,w2_2026,200,True
w2_2026_000028,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000028.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000028.png,data\annotations\irs_synthetic\w2\train\w2_2026_000028.json,w2_2026,200,True
w2_2026_000029,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000029.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000029.png,data\annotations\irs_synthetic\w2\train\w2_2026_000029.json,w2_2026,200,True
w2_2026_000030,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000030.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000030.png,data\annotations\irs_synthetic\w2\train\w2_2026_000030.json,w2_2026,200,True
w2_2026_000031,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000031.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000031.png,data\annotations\irs_synthetic\w2\train\w2_2026_000031.json,w2_2026,200,True
w2_2026_000032,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000032.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000032.png,data\annotations\irs_synthetic\w2\train\w2_2026_000032.json,w2_2026,200,True
w2_2026_000033,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000033.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000033.png,data\annotations\irs_synthetic\w2\train\w2_2026_000033.json,w2_2026,200,True
w2_2026_000034,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000034.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000034.png,data\annotations\irs_synthetic\w2\train\w2_2026_000034.json,w2_2026,200,True
w2_2026_000035,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000035.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000035.png,data\annotations\irs_synthetic\w2\train\w2_2026_000035.json,w2_2026,200,True
w2_2026_000036,w2,test,data\raw\irs_synthetic\w2\test\pdf\w2_2026_000036.pdf,data\raw\irs_synthetic\w2\test\images\w2_2026_000036.png,data\annotations\irs_synthetic\w2\test\w2_2026_000036.json,w2_2026,200,True
w2_2026_000037,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000037.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000037.png,data\annotations\irs_synthetic\w2\train\w2_2026_000037.json,w2_2026,200,True
w2_2026_000038,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000038.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000038.png,data\annotations\irs_synthetic\w2\train\w2_2026_000038.json,w2_2026,200,True
w2_2026_000039,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000039.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000039.png,data\annotations\irs_synthetic\w2\train\w2_2026_000039.json,w2_2026,200,True
w2_2026_000040,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000040.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000040.png,data\annotations\irs_synthetic\w2\train\w2_2026_000040.json,w2_2026,200,True
w2_2026_000041,w2,validation,data\raw\irs_synthetic\w2\validation\pdf\w2_2026_000041.pdf,data\raw\irs_synthetic\w2\validation\images\w2_2026_000041.png,data\annotations\irs_synthetic\w2\validation\w2_2026_000041.json,w2_2026,200,True
w2_2026_000042,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000042.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000042.png,data\annotations\irs_synthetic\w2\train\w2_2026_000042.json,w2_2026,200,True
w2_2026_000043,w2,test,data\raw\irs_synthetic\w2\test\pdf\w2_2026_000043.pdf,data\raw\irs_synthetic\w2\test\images\w2_2026_000043.png,data\annotations\irs_synthetic\w2\test\w2_2026_000043.json,w2_2026,200,True
w2_2026_000044,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000044.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000044.png,data\annotations\irs_synthetic\w2\train\w2_2026_000044.json,w2_2026,200,True
w2_2026_000045,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000045.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000045.png,data\annotations\irs_synthetic\w2\train\w2_2026_000045.json,w2_2026,200,True
w2_2026_000046,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000046.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000046.png,data\annotations\irs_synthetic\w2\train\w2_2026_000046.json,w2_2026,200,True
w2_2026_000047,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000047.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000047.png,data\annotations\irs_synthetic\w2\train\w2_2026_000047.json,w2_2026,200,True
w2_2026_000048,w2,validation,data\raw\irs_synthetic\w2\validation\pdf\w2_2026_000048.pdf,data\raw\irs_synthetic\w2\validation\images\w2_2026_000048.png,data\annotations\irs_synthetic\w2\validation\w2_2026_000048.json,w2_2026,200,True
w2_2026_000049,w2,validation,data\raw\irs_synthetic\w2\validation\pdf\w2_2026_000049.pdf,data\raw\irs_synthetic\w2\validation\images\w2_2026_000049.png,data\annotations\irs_synthetic\w2\validation\w2_2026_000049.json,w2_2026,200,True
w2_2026_000050,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000050.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000050.png,data\annotations\irs_synthetic\w2\train\w2_2026_000050.json,w2_2026,200,True
w2_2026_000051,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000051.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000051.png,data\annotations\irs_synthetic\w2\train\w2_2026_000051.json,w2_2026,200,True
w2_2026_000052,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000052.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000052.png,data\annotations\irs_synthetic\w2\train\w2_2026_000052.json,w2_2026,200,True
w2_2026_000053,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000053.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000053.png,data\annotations\irs_synthetic\w2\train\w2_2026_000053.json,w2_2026,200,True
w2_2026_000054,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000054.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000054.png,data\annotations\irs_synthetic\w2\train\w2_2026_000054.json,w2_2026,200,True
w2_2026_000055,w2,validation,data\raw\irs_synthetic\w2\validation\pdf\w2_2026_000055.pdf,data\raw\irs_synthetic\w2\validation\images\w2_2026_000055.png,data\annotations\irs_synthetic\w2\validation\w2_2026_000055.json,w2_2026,200,True
w2_2026_000056,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000056.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000056.png,data\annotations\irs_synthetic\w2\train\w2_2026_000056.json,w2_2026,200,True
w2_2026_000057,w2,test,data\raw\irs_synthetic\w2\test\pdf\w2_2026_000057.pdf,data\raw\irs_synthetic\w2\test\images\w2_2026_000057.png,data\annotations\irs_synthetic\w2\test\w2_2026_000057.json,w2_2026,200,True
w2_2026_000058,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000058.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000058.png,data\annotations\irs_synthetic\w2\train\w2_2026_000058.json,w2_2026,200,True
w2_2026_000059,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000059.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000059.png,data\annotations\irs_synthetic\w2\train\w2_2026_000059.json,w2_2026,200,True
w2_2026_000060,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000060.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000060.png,data\annotations\irs_synthetic\w2\train\w2_2026_000060.json,w2_2026,200,True
w2_2026_000061,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000061.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000061.png,data\annotations\irs_synthetic\w2\train\w2_2026_000061.json,w2_2026,200,True
w2_2026_000062,w2,test,data\raw\irs_synthetic\w2\test\pdf\w2_2026_000062.pdf,data\raw\irs_synthetic\w2\test\images\w2_2026_000062.png,data\annotations\irs_synthetic\w2\test\w2_2026_000062.json,w2_2026,200,True
w2_2026_000063,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000063.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000063.png,data\annotations\irs_synthetic\w2\train\w2_2026_000063.json,w2_2026,200,True
w2_2026_000064,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000064.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000064.png,data\annotations\irs_synthetic\w2\train\w2_2026_000064.json,w2_2026,200,True
w2_2026_000065,w2,validation,data\raw\irs_synthetic\w2\validation\pdf\w2_2026_000065.pdf,data\raw\irs_synthetic\w2\validation\images\w2_2026_000065.png,data\annotations\irs_synthetic\w2\validation\w2_2026_000065.json,w2_2026,200,True
w2_2026_000066,w2,test,data\raw\irs_synthetic\w2\test\pdf\w2_2026_000066.pdf,data\raw\irs_synthetic\w2\test\images\w2_2026_000066.png,data\annotations\irs_synthetic\w2\test\w2_2026_000066.json,w2_2026,200,True
w2_2026_000067,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000067.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000067.png,data\annotations\irs_synthetic\w2\train\w2_2026_000067.json,w2_2026,200,True
w2_2026_000068,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000068.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000068.png,data\annotations\irs_synthetic\w2\train\w2_2026_000068.json,w2_2026,200,True
w2_2026_000069,w2,test,data\raw\irs_synthetic\w2\test\pdf\w2_2026_000069.pdf,data\raw\irs_synthetic\w2\test\images\w2_2026_000069.png,data\annotations\irs_synthetic\w2\test\w2_2026_000069.json,w2_2026,200,True
w2_2026_000070,w2,validation,data\raw\irs_synthetic\w2\validation\pdf\w2_2026_000070.pdf,data\raw\irs_synthetic\w2\validation\images\w2_2026_000070.png,data\annotations\irs_synthetic\w2\validation\w2_2026_000070.json,w2_2026,200,True
w2_2026_000071,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000071.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000071.png,data\annotations\irs_synthetic\w2\train\w2_2026_000071.json,w2_2026,200,True
w2_2026_000072,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000072.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000072.png,data\annotations\irs_synthetic\w2\train\w2_2026_000072.json,w2_2026,200,True
w2_2026_000073,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000073.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000073.png,data\annotations\irs_synthetic\w2\train\w2_2026_000073.json,w2_2026,200,True
w2_2026_000074,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000074.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000074.png,data\annotations\irs_synthetic\w2\train\w2_2026_000074.json,w2_2026,200,True
w2_2026_000075,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000075.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000075.png,data\annotations\irs_synthetic\w2\train\w2_2026_000075.json,w2_2026,200,True
w2_2026_000076,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000076.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000076.png,data\annotations\irs_synthetic\w2\train\w2_2026_000076.json,w2_2026,200,True
w2_2026_000077,w2,validation,data\raw\irs_synthetic\w2\validation\pdf\w2_2026_000077.pdf,data\raw\irs_synthetic\w2\validation\images\w2_2026_000077.png,data\annotations\irs_synthetic\w2\validation\w2_2026_000077.json,w2_2026,200,True
w2_2026_000078,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000078.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000078.png,data\annotations\irs_synthetic\w2\train\w2_2026_000078.json,w2_2026,200,True
w2_2026_000079,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000079.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000079.png,data\annotations\irs_synthetic\w2\train\w2_2026_000079.json,w2_2026,200,True
w2_2026_000080,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000080.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000080.png,data\annotations\irs_synthetic\w2\train\w2_2026_000080.json,w2_2026,200,True
w2_2026_000081,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000081.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000081.png,data\annotations\irs_synthetic\w2\train\w2_2026_000081.json,w2_2026,200,True
w2_2026_000082,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000082.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000082.png,data\annotations\irs_synthetic\w2\train\w2_2026_000082.json,w2_2026,200,True
w2_2026_000083,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000083.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000083.png,data\annotations\irs_synthetic\w2\train\w2_2026_000083.json,w2_2026,200,True
w2_2026_000084,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000084.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000084.png,data\annotations\irs_synthetic\w2\train\w2_2026_000084.json,w2_2026,200,True
w2_2026_000085,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000085.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000085.png,data\annotations\irs_synthetic\w2\train\w2_2026_000085.json,w2_2026,200,True
w2_2026_000086,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000086.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000086.png,data\annotations\irs_synthetic\w2\train\w2_2026_000086.json,w2_2026,200,True
w2_2026_000087,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000087.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000087.png,data\annotations\irs_synthetic\w2\train\w2_2026_000087.json,w2_2026,200,True
w2_2026_000088,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000088.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000088.png,data\annotations\irs_synthetic\w2\train\w2_2026_000088.json,w2_2026,200,True
w2_2026_000089,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000089.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000089.png,data\annotations\irs_synthetic\w2\train\w2_2026_000089.json,w2_2026,200,True
w2_2026_000090,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000090.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000090.png,data\annotations\irs_synthetic\w2\train\w2_2026_000090.json,w2_2026,200,True
w2_2026_000091,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000091.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000091.png,data\annotations\irs_synthetic\w2\train\w2_2026_000091.json,w2_2026,200,True
w2_2026_000092,w2,validation,data\raw\irs_synthetic\w2\validation\pdf\w2_2026_000092.pdf,data\raw\irs_synthetic\w2\validation\images\w2_2026_000092.png,data\annotations\irs_synthetic\w2\validation\w2_2026_000092.json,w2_2026,200,True
w2_2026_000093,w2,test,data\raw\irs_synthetic\w2\test\pdf\w2_2026_000093.pdf,data\raw\irs_synthetic\w2\test\images\w2_2026_000093.png,data\annotations\irs_synthetic\w2\test\w2_2026_000093.json,w2_2026,200,True
w2_2026_000094,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000094.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000094.png,data\annotations\irs_synthetic\w2\train\w2_2026_000094.json,w2_2026,200,True
w2_2026_000095,w2,validation,data\raw\irs_synthetic\w2\validation\pdf\w2_2026_000095.pdf,data\raw\irs_synthetic\w2\validation\images\w2_2026_000095.png,data\annotations\irs_synthetic\w2\validation\w2_2026_000095.json,w2_2026,200,True
w2_2026_000096,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000096.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000096.png,data\annotations\irs_synthetic\w2\train\w2_2026_000096.json,w2_2026,200,True
w2_2026_000097,w2,validation,data\raw\irs_synthetic\w2\validation\pdf\w2_2026_000097.pdf,data\raw\irs_synthetic\w2\validation\images\w2_2026_000097.png,data\annotations\irs_synthetic\w2\validation\w2_2026_000097.json,w2_2026,200,True
w2_2026_000098,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000098.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000098.png,data\annotations\irs_synthetic\w2\train\w2_2026_000098.json,w2_2026,200,True
w2_2026_000099,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000099.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000099.png,data\annotations\irs_synthetic\w2\train\w2_2026_000099.json,w2_2026,200,True
w2_2026_000100,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000100.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000100.png,data\annotations\irs_synthetic\w2\train\w2_2026_000100.json,w2_2026,200,True
w2_2026_000101,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000101.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000101.png,data\annotations\irs_synthetic\w2\train\w2_2026_000101.json,w2_2026,200,True
w2_2026_000102,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000102.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000102.png,data\annotations\irs_synthetic\w2\train\w2_2026_000102.json,w2_2026,200,True
w2_2026_000103,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000103.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000103.png,data\annotations\irs_synthetic\w2\train\w2_2026_000103.json,w2_2026,200,True
w2_2026_000104,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000104.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000104.png,data\annotations\irs_synthetic\w2\train\w2_2026_000104.json,w2_2026,200,True
w2_2026_000105,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000105.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000105.png,data\annotations\irs_synthetic\w2\train\w2_2026_000105.json,w2_2026,200,True
w2_2026_000106,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000106.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000106.png,data\annotations\irs_synthetic\w2\train\w2_2026_000106.json,w2_2026,200,True
w2_2026_000107,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000107.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000107.png,data\annotations\irs_synthetic\w2\train\w2_2026_000107.json,w2_2026,200,True
w2_2026_000108,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000108.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000108.png,data\annotations\irs_synthetic\w2\train\w2_2026_000108.json,w2_2026,200,True
w2_2026_000109,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000109.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000109.png,data\annotations\irs_synthetic\w2\train\w2_2026_000109.json,w2_2026,200,True
w2_2026_000110,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000110.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000110.png,data\annotations\irs_synthetic\w2\train\w2_2026_000110.json,w2_2026,200,True
w2_2026_000111,w2,validation,data\raw\irs_synthetic\w2\validation\pdf\w2_2026_000111.pdf,data\raw\irs_synthetic\w2\validation\images\w2_2026_000111.png,data\annotations\irs_synthetic\w2\validation\w2_2026_000111.json,w2_2026,200,True
w2_2026_000112,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000112.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000112.png,data\annotations\irs_synthetic\w2\train\w2_2026_000112.json,w2_2026,200,True
w2_2026_000113,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000113.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000113.png,data\annotations\irs_synthetic\w2\train\w2_2026_000113.json,w2_2026,200,True
w2_2026_000114,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000114.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000114.png,data\annotations\irs_synthetic\w2\train\w2_2026_000114.json,w2_2026,200,True
w2_2026_000115,w2,validation,data\raw\irs_synthetic\w2\validation\pdf\w2_2026_000115.pdf,data\raw\irs_synthetic\w2\validation\images\w2_2026_000115.png,data\annotations\irs_synthetic\w2\validation\w2_2026_000115.json,w2_2026,200,True
