document_id,parent_document_id,document_type,split,variant_profile,image_path,annotation_path,rotation_degrees,blur_radius,noise_sigma,jpeg_quality
w2_2026_000029_scan_hard_02,w2_2026_000029,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000029_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000029_scan_hard_02.json,-1.3548,1.2544,5.0031,66
w2_2026_000030_scan_mild_01,w2_2026_000030,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000030_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000030_scan_mild_01.json,0.1581,0.2666,3.9979,73
w2_2026_000030_scan_hard_02,w2_2026_000030,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000030_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000030_scan_hard_02.json,1.6365,1.1122,6.6872,48
w2_2026_000031_scan_mild_01,w2_2026_000031,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000031_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000031_scan_mild_01.json,0.8659,0.2544,3.1336,84
w2_2026_000031_scan_hard_02,w2_2026_000031,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000031_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000031_scan_hard_02.json,0.2026,1.2974,8.2687,63
w2_2026_000032_scan_mild_01,w2_2026_000032,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000032_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000032_scan_mild_01.json,-0.3832,0.5593,2.2749,82
w2_2026_000032_scan_hard_02,w2_2026_000032,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000032_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000032_scan_hard_02.json,0.251,0.9221,8.9436,70
w2_2026_000033_scan_mild_01,w2_2026_000033,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000033_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000033_scan_mild_01.json,-0.8113,0.588,4.3872,88
w2_2026_000033_scan_hard_02,w2_2026_000033,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000033_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000033_scan_hard_02.json,1.326,1.0103,9.5927,70
w2_2026_000034_scan_mild_01,w2_2026_000034,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000034_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000034_scan_mild_01.json,-0.8416,0.5288,3.0584,76
w2_2026_000034_scan_hard_02,w2_2026_000034,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000034_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000034_scan_hard_02.json,2.4571,0.9573,9.2726,59
w2_2026_000035_scan_mild_01,w2_2026_000035,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000035_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000035_scan_mild_01.json,0.9912,0.299,2.6253,82
w2_2026_000035_scan_hard_02,w2_2026_000035,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000035_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000035_scan_hard_02.json,0.0264,0.6805,7.3201,59
w2_2026_000036_scan_mild_01,w2_2026_000036,w2,test,mild,data\processed\irs_scan_variants\w2\test\w2_2026_000036_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\test\w2_2026_000036_scan_mild_01.json,1.2155,0.2155,3.4596,83
w2_2026_000036_scan_hard_02,w2_2026_000036,w2,test,hard,data\processed\irs_scan_variants\w2\test\w2_2026_000036_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\test\w2_2026_000036_scan_hard_02.json,-0.3835,1.1813,7.5987,69
w2_2026_000037_scan_mild_01,w2_2026_000037,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000037_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000037_scan_mild_01.json,1.1215,0.3109,2.9867,88
w2_2026_000037_scan_hard_02,w2_2026_000037,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000037_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000037_scan_hard_02.json,-0.1884,1.1807,8.5401,58
w2_2026_000038_scan_mild_01,w2_2026_000038,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000038_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000038_scan_mild_01.json,-0.163,0.3341,3.1943,82
w2_2026_000038_scan_hard_02,w2_2026_000038,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000038_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000038_scan_hard_02.json,-1.5641,1.2854,5.6746,69
w2_2026_000039_scan_mild_01,w2_2026_000039,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000039_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000039_scan_mild_01.json,-1.101,0.5941,3.0775,75
w2_2026_000039_scan_hard_02,w2_2026_000039,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000039_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000039_scan_hard_02.json,-1.7219,0.9038,5.5791,67
w2_2026_000040_scan_mild_01,w2_2026_000040,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000040_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000040_scan_mild_01.json,1.1934,0.3386,3.4888,75
w2_2026_000040_scan_hard_02,w2_2026_000040,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000040_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000040_scan_hard_02.json,-0.6661,1.1124,6.712,55
w2_2026_000041_scan_mild_01,w2_2026_000041,w2,validation,mild,data\processed\irs_scan_variants\w2\validation\w2_2026_000041_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\validation\w2_2026_000041_scan_mild_01.json,1.1066,0.4255,2.6306,76
w2_2026_000041_scan_hard_02,w2_2026_000041,w2,validation,hard,data\processed\irs_scan_variants\w2\validation\w2_2026_000041_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\validation\w2_2026_000041_scan_hard_02.json,1.495,1.0723,9.5108,57
w2_2026_000042_scan_mild_01,w2_2026_000042,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000042_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000042_scan_mild_01.json,0.5517,0.4992,3.0755,82
w2_2026_000042_scan_hard_02,w2_2026_000042,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000042_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000042_scan_hard_02.json,-2.4759,0.7668,8.8899,67
w2_2026_000043_scan_mild_01,w2_2026_000043,w2,test,mild,data\processed\irs_scan_variants\w2\test\w2_2026_000043_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\test\w2_2026_000043_scan_mild_01.json,0.2359,0.2121,3.8643,72
w2_2026_000043_scan_hard_02,w2_2026_000043,w2,test,hard,data\processed\irs_scan_variants\w2\test\w2_2026_000043_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\test\w2_2026_000043_scan_hard_02.json,-1.7541,1.3357,5.6034,59
w2_2026_000044_scan_mild_01,w2_2026_000044,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000044_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000044_scan_mild_01.json,0.9802,0.5166,3.908,76
w2_2026_000044_scan_hard_02,w2_2026_000044,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000044_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000044_scan_hard_02.json,-0.3688,0.9033,5.5591,51
w2_2026_000045_scan_mild_01,w2_2026_000045,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000045_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000045_scan_mild_01.json,-0.0965,0.16,3.0298,87
w2_2026_000045_scan_hard_02,w2_2026_000045,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000045_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000045_scan_hard_02.json,-2.2692,1.2501,6.3402,70
w2_2026_000046_scan_mild_01,w2_2026_000046,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000046_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000046_scan_mild_01.json,0.1655,0.2424,4.4394,84
w2_2026_000046_scan_hard_02,w2_2026_000046,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000046_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000046_scan_hard_02.json,0.6093,1.0495,7.7093,63
w2_2026_000047_scan_mild_01,w2_2026_000047,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000047_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000047_scan_mild_01.json,0.9452,0.1981,3.1422,78
w2_2026_000047_scan_hard_02,w2_2026_000047,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000047_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000047_scan_hard_02.json,-0.3597,0.9759,7.1931,60
w2_2026_000048_scan_mild_01,w2_2026_000048,w2,validation,mild,data\processed\irs_scan_variants\w2\validation\w2_2026_000048_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\validation\w2_2026_000048_scan_mild_01.json,0.7927,0.4016,2.0428,89
w2_2026_000048_scan_hard_02,w2_2026_000048,w2,validation,hard,data\processed\irs_scan_variants\w2\validation\w2_2026_000048_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\validation\w2_2026_000048_scan_hard_02.json,-1.8823,0.7978,9.1195,65
w2_2026_000049_scan_mild_01,w2_2026_000049,w2,validation,mild,data\processed\irs_scan_variants\w2\validation\w2_2026_000049_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\validation\w2_2026_000049_scan_mild_01.json,0.968,0.302,3.3668,81
w2_2026_000049_scan_hard_02,w2_2026_000049,w2,validation,hard,data\processed\irs_scan_variants\w2\validation\w2_2026_000049_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\validation\w2_2026_000049_scan_hard_02.json,-1.4271,0.8147,6.5138,57
w2_2026_000050_scan_mild_01,w2_2026_000050,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000050_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000050_scan_mild_01.json,0.7926,0.2731,4.9303,79
w2_2026_000050_scan_hard_02,w2_2026_000050,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000050_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000050_scan_hard_02.json,-1.3914,1.1034,8.4235,64
w2_2026_000051_scan_mild_01,w2_2026_000051,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000051_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000051_scan_mild_01.json,0.8754,0.2763,4.9872,76
w2_2026_000051_scan_hard_02,w2_2026_000051,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000051_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000051_scan_hard_02.json,-1.6061,0.7522,7.646,62
w2_2026_000052_scan_mild_01,w2_2026_000052,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000052_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000052_scan_mild_01.json,0.615,0.6285,3.3844,75
w2_2026_000052_scan_hard_02,w2_2026_000052,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000052_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000052_scan_hard_02.json,-0.6032,1.2088,7.1112,51
w2_2026_000053_scan_mild_01,w2_2026_000053,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000053_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000053_scan_mild_01.json,0.4244,0.35,4.9104,90
w2_2026_000053_scan_hard_02,w2_2026_000053,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000053_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000053_scan_hard_02.json,0.7074,0.7096,8.1894,58
