document_id,parent_document_id,document_type,quality,status,priority,total_field_count,accepted_field_count,review_field_count,critical_review_count,structured_review_count,descriptive_review_count,exception_count,review_state
w2_2026_000132,w2_2026_000132,w2,clean,exception_review,1,17,3,14,10,3,1,4,pending
w2_2026_000174_scan_hard_02,w2_2026_000174,w2,hard,exception_review,1,17,3,14,10,2,2,4,pending
w2_2026_000220_scan_mild_01,w2_2026_000220,w2,mild,exception_review,1,17,3,14,10,2,2,4,pending
w2_2026_000247_scan_mild_01,w2_2026_000247,w2,mild,exception_review,1,17,3,14,10,2,2,4,pending
w2_2026_000057,w2_2026_000057,w2,clean,exception_review,1,17,4,13,10,2,1,4,pending
w2_2026_000093,w2_2026_000093,w2,clean,exception_review,1,17,4,13,10,2,1,4,pending
w2_2026_000174,w2_2026_000174,w2,clean,exception_review,1,17,4,13,10,2,1,4,pending
w2_2026_000247,w2_2026_000247,w2,clean,exception_review,1,17,4,13,10,2,1,4,pending
w2_2026_000062_scan_mild_01,w2_2026_000062,w2,mild,exception_review,1,17,1,16,10,3,3,2,pending
w2_2026_000093_scan_hard_02,w2_2026_000093,w2,hard,exception_review,1,17,1,16,10,3,3,2,pending
w2_2026_000008_scan_mild_01,w2_2026_000008,w2,mild,exception_review,1,17,2,15,10,3,2,2,pending
w2_2026_000022_scan_mild_01,w2_2026_000022,w2,mild,exception_review,1,17,2,15,10,3,2,2,pending
w2_2026_000023_scan_mild_01,w2_2026_000023,w2,mild,exception_review,1,17,2,15,10,3,2,2,pending
w2_2026_000036_scan_mild_01,w2_2026_000036,w2,mild,exception_review,1,17,2,15,10,3,2,2,pending
w2_2026_000116_scan_mild_01,w2_2026_000116,w2,mild,exception_review,1,17,2,15,10,3,2,2,pending
w2_2026_000132_scan_mild_01,w2_2026_000132,w2,mild,exception_review,1,17,2,15,10,3,2,2,pending
w2_2026_000244_scan_mild_01,w2_2026_000244,w2,mild,exception_review,1,17,2,15,10,3,2,2,pending
w2_2026_000036_scan_hard_02,w2_2026_000036,w2,hard,exception_review,1,17,3,14,10,3,1,2,pending
w2_2026_000043_scan_hard_02,w2_2026_000043,w2,hard,exception_review,1,17,3,14,10,3,1,2,pending
w2_2026_000057_scan_mild_01,w2_2026_000057,w2,mild,exception_review,1,17,3,14,10,2,2,2,pending
w2_2026_000133,w2_2026_000133,w2,clean,exception_review,1,17,3,14,10,3,1,2,pending
w2_2026_000133_scan_mild_01,w2_2026_000133,w2,mild,exception_review,1,17,3,14,10,3,1,2,pending
w2_2026_000134_scan_mild_01,w2_2026_000134,w2,mild,exception_review,1,17,3,14,10,2,2,2,pending
w2_2026_000220_scan_hard_02,w2_2026_000220,w2,hard,exception_review,1,17,3,14,10,2,2,2,pending
w2_2026_000011,w2_2026_000011,w2,clean,exception_review,1,17,4,13,10,2,1,2,pending
w2_2026_000022,w2_2026_000022,w2,clean,exception_review,1,17,4,13,10,2,1,2,pending
w2_2026_000043,w2_2026_000043,w2,clean,exception_review,1,17,4,13,10,2,1,2,pending
w2_2026_000069,w2_2026_000069,w2,clean,exception_review,1,17,4,13,10,2,1,2,pending
w2_2026_000116,w2_2026_000116,w2,clean,exception_review,1,17,4,13,10,2,1,2,pending
w2_2026_000120_scan_mild_01,w2_2026_000120,w2,mild,exception_review,1,17,4,13,10,2,1,2,pending
w2_2026_000121,w2_2026_000121,w2,clean,exception_review,1,17,4,13,10,2,1,2,pending
w2_2026_000123,w2_2026_000123,w2,clean,exception_review,1,17,4,13,10,2,1,2,pending
w2_2026_000147,w2_2026_000147,w2,clean,exception_review,1,17,4,13,10,2,1,2,pending
w2_2026_000186,w2_2026_000186,w2,clean,exception_review,1,17,4,13,10,2,1,2,pending
w2_2026_000220,w2_2026_000220,w2,clean,exception_review,1,17,4,13,10,2,1,2,pending
w2_2026_000244,w2_2026_000244,w2,clean,exception_review,1,17,5,12,10,1,1,2,pending
w2_2026_000011_scan_mild_01,w2_2026_000011,w2,mild,exception_review,1,17,4,13,9,2,2,2,pending
w2_2026_000066,w2_2026_000066,w2,clean,exception_review,1,17,5,12,9,2,1,2,pending
w2_2026_000134,w2_2026_000134,w2,clean,exception_review,1,17,5,12,9,2,1,2,pending
w2_2026_000199,w2_2026_000199,w2,clean,exception_review,1,17,5,12,9,2,1,2,pending
1099_nec_2026_000144_scan_hard_02,1099_nec_2026_000144,1099_nec,hard,exception_review,1,18,1,17,6,6,5,2,pending
1099_nec_2026_000245_scan_hard_02,1099_nec_2026_000245,1099_nec,hard,exception_review,1,18,2,16,6,6,4,2,pending
1099_nec_2026_000047_scan_hard_02,1099_nec_2026_000047,1099_nec,hard,exception_review,1,18,3,15,6,6,3,2,pending
1099_nec_2026_000047_scan_mild_01,1099_nec_2026_000047,1099_nec,mild,exception_review,1,18,4,14,6,6,2,2,pending
1099_nec_2026_000207_scan_hard_02,1099_nec_2026_000207,1099_nec,hard,exception_review,1,18,4,14,6,5,3,2,pending
1099_nec_2026_000186_scan_hard_02,1099_nec_2026_000186,1099_nec,hard,exception_review,1,18,5,13,6,5,2,2,pending
1099_nec_2026_000141_scan_hard_02,1099_nec_2026_000141,1099_nec,hard,exception_review,1,18,6,12,6,5,1,2,pending
1099_nec_2026_000186_scan_mild_01,1099_nec_2026_000186,1099_nec,mild,exception_review,1,18,6,12,6,6,0,2,pending
1099_nec_2026_000186,1099_nec_2026_000186,1099_nec,clean,exception_review,1,18,8,10,6,4,0,2,pending
1099_nec_2026_000204_scan_mild_01,1099_nec_2026_000204,1099_nec,mild,exception_review,1,18,8,10,6,4,0,2,pending
1099_nec_2026_000075_scan_mild_01,1099_nec_2026_000075,1099_nec,mild,exception_review,1,18,9,9,6,3,0,2,pending
1099_nec_2026_000007_scan_hard_02,1099_nec_2026_000007,1099_nec,hard,exception_review,1,18,7,11,5,5,1,2,pending
1099_nec_2026_000029_scan_mild_01,1099_nec_2026_000029,1099_nec,mild,exception_review,1,18,7,11,5,6,0,2,pending
1099_nec_2026_000157_scan_mild_01,1099_nec_2026_000157,1099_nec,mild,exception_review,1,18,7,11,5,6,0,2,pending
1099_nec_2026_000007_scan_mild_01,1099_nec_2026_000007,1099_nec,mild,exception_review,1,18,8,10,5,5,0,2,pending
1099_nec_2026_000245_scan_mild_01,1099_nec_2026_000245,1099_nec,mild,exception_review,1,18,8,10,5,5,0,2,pending
1099_nec_2026_000107_scan_mild_01,1099_nec_2026_000107,1099_nec,mild,exception_review,1,18,10,8,5,3,0,2,pending
w2_2026_000123_scan_hard_02,w2_2026_000123,w2,hard,critical_field_verification,2,17,2,15,10,3,2,0,pending
w2_2026_000186_scan_mild_01,w2_2026_000186,w2,mild,critical_field_verification,2,17,2,15,10,3,2,0,pending
w2_2026_000036,w2_2026_000036,w2,clean,critical_field_verification,2,17,3,14,10,3,1,0,pending
w2_2026_000043_scan_mild_01,w2_2026_000043,w2,mild,critical_field_verification,2,17,3,14,10,2,2,0,pending
w2_2026_000023,w2_2026_000023,w2,clean,critical_field_verification,2,17,4,13,10,2,1,0,pending
w2_2026_000022_scan_hard_02,w2_2026_000022,w2,hard,critical_field_verification,2,17,3,14,9,3,2,0,pending
1099_nec_2026_000004_scan_hard_02,1099_nec_2026_000004,1099_nec,hard,critical_field_verification,2,18,3,15,6,6,3,0,pending
1099_nec_2026_000095_scan_hard_02,1099_nec_2026_000095,1099_nec,hard,critical_field_verification,2,18,3,15,6,6,3,0,pending
1099_nec_2026_000082_scan_hard_02,1099_nec_2026_000082,1099_nec,hard,critical_field_verification,2,18,4,14,6,5,3,0,pending
1099_nec_2026_000145_scan_hard_02,1099_nec_2026_000145,1099_nec,hard,critical_field_verification,2,18,4,14,6,6,2,0,pending
1099_nec_2026_000157_scan_hard_02,1099_nec_2026_000157,1099_nec,hard,critical_field_verification,2,18,4,14,6,6,2,0,pending
1099_nec_2026_000029_scan_hard_02,1099_nec_2026_000029,1099_nec,hard,critical_field_verification,2,18,5,13,6,6,1,0,pending
1099_nec_2026_000075_scan_hard_02,1099_nec_2026_000075,1099_nec,hard,critical_field_verification,2,18,5,13,6,4,3,0,pending
1099_nec_2026_000104_scan_hard_02,1099_nec_2026_000104,1099_nec,hard,critical_field_verification,2,18,5,13,6,5,2,0,pending
1099_nec_2026_000193_scan_mild_01,1099_nec_2026_000193,1099_nec,mild,critical_field_verification,2,18,5,13,6,6,1,0,pending
1099_nec_2026_000200_scan_hard_02,1099_nec_2026_000200,1099_nec,hard,critical_field_verification,2,18,5,13,6,6,1,0,pending
1099_nec_2026_000236_scan_mild_01,1099_nec_2026_000236,1099_nec,mild,critical_field_verification,2,18,5,13,6,6,1,0,pending
1099_nec_2026_000049_scan_hard_02,1099_nec_2026_000049,1099_nec,hard,critical_field_verification,2,18,6,12,6,5,1,0,pending
1099_nec_2026_000049_scan_mild_01,1099_nec_2026_000049,1099_nec,mild,critical_field_verification,2,18,6,12,6,5,1,0,pending
1099_nec_2026_000172_scan_hard_02,1099_nec_2026_000172,1099_nec,hard,critical_field_verification,2,18,6,12,6,6,0,0,pending
1099_nec_2026_000220_scan_mild_01,1099_nec_2026_000220,1099_nec,mild,critical_field_verification,2,18,6,12,6,6,0,0,pending
1099_nec_2026_000075,1099_nec_2026_000075,1099_nec,clean,critical_field_verification,2,18,7,11,6,5,0,0,pending
1099_nec_2026_000104,1099_nec_2026_000104,1099_nec,clean,critical_field_verification,2,18,7,11,6,4,1,0,pending
1099_nec_2026_000107_scan_hard_02,1099_nec_2026_000107,1099_nec,hard,critical_field_verification,2,18,7,11,6,4,1,0,pending
1099_nec_2026_000141_scan_mild_01,1099_nec_2026_000141,1099_nec,mild,critical_field_verification,2,18,7,11,6,5,0,0,pending
1099_nec_2026_000144_scan_mild_01,1099_nec_2026_000144,1099_nec,mild,critical_field_verification,2,18,7,11,6,5,0,0,pending
1099_nec_2026_000200,1099_nec_2026_000200,1099_nec,clean,critical_field_verification,2,18,7,11,6,5,0,0,pending
1099_nec_2026_000229_scan_hard_02,1099_nec_2026_000229,1099_nec,hard,critical_field_verification,2,18,7,11,6,4,1,0,pending
1099_nec_2026_000229_scan_mild_01,1099_nec_2026_000229,1099_nec,mild,critical_field_verification,2,18,7,11,6,5,0,0,pending
1099_nec_2026_000236,1099_nec_2026_000236,1099_nec,clean,critical_field_verification,2,18,7,11,6,4,1,0,pending
1099_nec_2026_000004,1099_nec_2026_000004,1099_nec,clean,critical_field_verification,2,18,8,10,6,3,1,0,pending
1099_nec_2026_000004_scan_mild_01,1099_nec_2026_000004,1099_nec,mild,critical_field_verification,2,18,8,10,6,3,1,0,pending
1099_nec_2026_000007,1099_nec_2026_000007,1099_nec,clean,critical_field_verification,2,18,8,10,6,4,0,0,pending
1099_nec_2026_000049,1099_nec_2026_000049,1099_nec,clean,critical_field_verification,2,18,8,10,6,4,0,0,pending
1099_nec_2026_000095,1099_nec_2026_000095,1099_nec,clean,critical_field_verification,2,18,8,10,6,4,0,0,pending
1099_nec_2026_000126,1099_nec_2026_000126,1099_nec,clean,critical_field_verification,2,18,8,10,6,4,0,0,pending
1099_nec_2026_000145_scan_mild_01,1099_nec_2026_000145,1099_nec,mild,critical_field_verification,2,18,8,10,6,4,0,0,pending
1099_nec_2026_000172,1099_nec_2026_000172,1099_nec,clean,critical_field_verification,2,18,8,10,6,4,0,0,pending
1099_nec_2026_000193,1099_nec_2026_000193,1099_nec,clean,critical_field_verification,2,18,8,10,6,4,0,0,pending
1099_nec_2026_000200_scan_mild_01,1099_nec_2026_000200,1099_nec,mild,critical_field_verification,2,18,8,10,6,4,0,0,pending
1099_nec_2026_000204,1099_nec_2026_000204,1099_nec,clean,critical_field_verification,2,18,8,10,6,4,0,0,pending
1099_nec_2026_000212,1099_nec_2026_000212,1099_nec,clean,critical_field_verification,2,18,8,10,6,4,0,0,pending
1099_nec_2026_000230,1099_nec_2026_000230,1099_nec,clean,critical_field_verification,2,18,8,10,6,4,0,0,pending
1099_nec_2026_000029,1099_nec_2026_000029,1099_nec,clean,critical_field_verification,2,18,9,9,6,3,0,0,pending
1099_nec_2026_000082,1099_nec_2026_000082,1099_nec,clean,critical_field_verification,2,18,9,9,6,3,0,0,pending
1099_nec_2026_000144,1099_nec_2026_000144,1099_nec,clean,critical_field_verification,2,18,9,9,6,3,0,0,pending
1099_nec_2026_000207,1099_nec_2026_000207,1099_nec,clean,critical_field_verification,2,18,9,9,6,3,0,0,pending
1099_nec_2026_000107,1099_nec_2026_000107,1099_nec,clean,critical_field_verification,2,18,10,8,6,2,0,0,pending
1099_nec_2026_000220,1099_nec_2026_000220,1099_nec,clean,critical_field_verification,2,18,10,8,6,2,0,0,pending
1099_nec_2026_000126_scan_hard_02,1099_nec_2026_000126,1099_nec,hard,critical_field_verification,2,18,2,16,5,6,5,0,pending
1099_nec_2026_000236_scan_hard_02,1099_nec_2026_000236,1099_nec,hard,critical_field_verification,2,18,2,16,5,5,6,0,pending
1099_nec_2026_000193_scan_hard_02,1099_nec_2026_000193,1099_nec,hard,critical_field_verification,2,18,4,14,5,6,3,0,pending
1099_nec_2026_000204_scan_hard_02,1099_nec_2026_000204,1099_nec,hard,critical_field_verification,2,18,4,14,5,6,3,0,pending
1099_nec_2026_000212_scan_hard_02,1099_nec_2026_000212,1099_nec,hard,critical_field_verification,2,18,5,13,5,6,2,0,pending
1099_nec_2026_000220_scan_hard_02,1099_nec_2026_000220,1099_nec,hard,critical_field_verification,2,18,6,12,5,5,2,0,pending
1099_nec_2026_000082_scan_mild_01,1099_nec_2026_000082,1099_nec,mild,critical_field_verification,2,18,7,11,5,6,0,0,pending
1099_nec_2026_000095_scan_mild_01,1099_nec_2026_000095,1099_nec,mild,critical_field_verification,2,18,8,10,5,4,1,0,pending
1099_nec_2026_000104_scan_mild_01,1099_nec_2026_000104,1099_nec,mild,critical_field_verification,2,18,8,10,5,4,1,0,pending
1099_nec_2026_000126_scan_mild_01,1099_nec_2026_000126,1099_nec,mild,critical_field_verification,2,18,8,10,5,5,0,0,pending
1099_nec_2026_000157,1099_nec_2026_000157,1099_nec,clean,critical_field_verification,2,18,8,10,5,5,0,0,pending
1099_nec_2026_000230_scan_hard_02,1099_nec_2026_000230,1099_nec,hard,critical_field_verification,2,18,8,10,5,5,0,0,pending
1099_nec_2026_000245,1099_nec_2026_000245,1099_nec,clean,critical_field_verification,2,18,8,10,5,5,0,0,pending
1099_nec_2026_000047,1099_nec_2026_000047,1099_nec,clean,critical_field_verification,2,18,9,9,5,3,1,0,pending
1099_nec_2026_000141,1099_nec_2026_000141,1099_nec,clean,critical_field_verification,2,18,9,9,5,4,0,0,pending
1099_nec_2026_000145,1099_nec_2026_000145,1099_nec,clean,critical_field_verification,2,18,9,9,5,4,0,0,pending
1099_nec_2026_000172_scan_mild_01,1099_nec_2026_000172,1099_nec,mild,critical_field_verification,2,18,9,9,5,4,0,0,pending
1099_nec_2026_000207_scan_mild_01,1099_nec_2026_000207,1099_nec,mild,critical_field_verification,2,18,9,9,5,4,0,0,pending
1099_nec_2026_000229,1099_nec_2026_000229,1099_nec,clean,critical_field_verification,2,18,9,9,5,4,0,0,pending
1099_nec_2026_000230_scan_mild_01,1099_nec_2026_000230,1099_nec,mild,critical_field_verification,2,18,9,9,5,4,0,0,pending
1099_nec_2026_000212_scan_mild_01,1099_nec_2026_000212,1099_nec,mild,critical_field_verification,2,18,10,8,4,4,0,0,pending
